id,position,name,score,ratings,category,price_range,lat,lng,address,city,state,zip_code
34678,35,BellaRo Cupcakery &amp; Sweets,,,"Bakery, Cakes, Desserts",,29.62526398,-98.49625674,19141 Stone Oak Parkway, San Antonio, TX,78258
34679,19,Shipley Do-Nut (14088 Nacogdoches Rd),4.3,26,"American, Bakery, Desserts",$,29.57015,-98.382,14088 Nacogdoches Rd, San Antonio, TX,78247
34680,18,Crumbl Cookies (255 E Basse Road Suite 152),4.7,61,"Snacks, Bakery, Pastry, Desserts, Desserts",$$,29.49356,-98.47978,255 E Basse Road Suite 152, San Antonio, TX,78209
34681,15,Nadler's Bakery &amp; Deli,,,"Deli, Desserts, Bakery",$$,29.4931663,-98.5691139,1621 Babcock Rd, San Antonio, TX,78229
34682,13,Twin Sisters Bakery &amp; Cafe,,,"Italian, Pasta, Comfort Food",$$,29.4875652,-98.4587324,6322 N New Braunfels Ave, San Antonio, TX,78209
34685,10,Southern Roots Vegan Bakery,,,"Black-owned, Desserts, Cupcakes, Pastry",,29.362536,-98.493194,6208 South Flores Street, San Antonio, TX,78214
34687,9,Baklovah Bakery ,,,"Desserts, Bakery, Coffee and Tea, Middle Eastern, European",$,29.5303213,-98.5647122,9329 Wurzbach Rd, San Antonio, TX,78240
34688,188,Taqueria Datapoint (Gramercy),,,"Mexican, Latin American, New Mexican",$$,29.461,-98.5232,1702 W Gramercy Pl, San Antonio, TX,78201
34689,187,Winner Winner Chicken Dinner,,,"Sandwiches, Chicken, Comfort Food, Fried Chicken",,29.51848,-98.43108,2015 Northeast Loop 410, San Antonio, TX,78217
34690,186,El Jefe,,,"Burgers, American, Sandwiches",$,29.44847,-98.48807,2407 North Saint Marys Street, San Antonio, TX,78212
34691,184,Chick-fil-A  (1350 Austin Hwy),4.9,200,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food",$,29.49058,-98.43937,1350 Austin Hwy, San Antonio, TX,78209
34692,183,Ghost Kitchen SA,,,"American, Burgers, Wings",,29.51848,-98.43108,2015 Northeast Loop 410, San Antonio, TX,78217
34693,181,Carmen's Mexican Restaurant,,,"Mexican, Latin American, New Mexican",$$,29.49874,-98.34913,7030 Branching Court, San Antonio, TX,78239
34694,180,Teran's Restaurant,,,"Mexican, Latin American, New Mexican",$$,29.42469,-98.40901,4403 E Houston St, San Antonio, TX,78220
34696,178,Wing Master,,,"Wings, American, Chicken",,29.51848,-98.43108,2015 Northeast Loop 410, San Antonio, TX,78217
34697,174,Taco Cabana (5115 Rigsby ),4.4,49,"Mexican, Tex Mex, Breakfast and Brunch, Family Meals",$,29.3986009,-98.3909779,5115 Rigsby, San Antonio, TX,78222
34700,167,Little Taco Factory(1510 McCullough Ave),,,"Mexican, Latin American, New Mexican",$$,29.4431432,-98.4916301,1510 McCullough Ave, San Antonio, TX,78212
34702,164,Hometown Burger (5423 Evers Rd.),4.8,13,"Burgers, American, Sandwiches",$,29.48611,-98.59384,5423 Evers Rd., San Antonio, TX,78238
34703,160,Hometown Burger (Roosevelt),4,22,"Burgers, American, Sandwiches",$,29.35705,-98.48088,3436 Roosevelt, San Antonio, TX,78214
34704,159,FREAKING GOOD PIZZA (2620 South Presa Street),,,"American, Pizza, Italian",$$,29.39549,-98.48136,2620 South Presa Street, San Antonio, TX,78210
34705,157,Poblano's On Main,4.2,13,Mexican,$,29.4242501,-98.4942198,115 S Main Plaza, San Antonio, TX,78205
34706,149,Fresh Donut,,,"Breakfast and Brunch, American, Sandwiches",$$,29.48948,-98.4418,1302 Austin Highway, San Antonio, TX,78209
34707,148,Hometown Burger (1922 Culebra Rd.),4.3,20,"Burgers, American, Desserts",$,29.44612,-98.53904,1922 Culebra Rd., San Antonio, TX,78201
34708,147,Jesma Fine Foods,5,15,"Mexican, Latin American, New Mexican, Breakfast and Brunch, American",$,29.3978211,-98.4387585,1722 Rigsby Avenue, San Antonio, TX,78210
